Trace,Baseline,CPU,NumCPUs,HomogeneousMix,MPKI,IPC,LoadMisses,RFOMisses
astar_313B.trace.gz,lru,0,1,True,43.168846,0.115009,11600865,9983558
mcf_46B.trace.gz,lru,0,1,True,69.356924,0.0993034,34016591,661871
cc.trace.gz,lru,0,1,True,6.018132,0.509478,3007332,1734
soplex_66B.trace.gz,lru,0,1,True,25.674554,0.381451,10406229,2431048
pr.trace.gz,lru,0,1,True,12.761645974476709,0.254517,6302978,77845
sphinx3_2520B.trace.gz,lru,0,1,True,11.646807953412768,0.700962,5386571,436833
omnetpp_340B.trace.gz,lru,0,1,True,17.227995896632024,0.283733,7374627,1239371
bfs.trace.gz,lru,0,1,True,10.605378,0.40099,5232029,70660
pr.trace.gz,lru,0,2,False,13.224695973550608,0.23168,6537103,75245
mcf_46B.trace.gz,lru,1,2,False,66.829548,0.100148,32797125,617649
astar_313B.trace.gz,lru,0,2,True,43.69226,0.110857,11598734,10247396
astar_313B.trace.gz,lru,1,2,True,43.692337737845975,0.110857,11601886,10244283
cc.trace.gz,lru,0,2,False,6.0802279756790885,0.471293,3038066,2048
bfs.trace.gz,lru,1,2,False,8.949265946304404,0.403697,4438768,35865
mcf_46B.trace.gz,lru,0,2,True,69.40373158357761,0.0947581,34037823,664043
mcf_46B.trace.gz,lru,1,2,True,69.3800975837194,0.0947584,34026661,663388
xalancbmk_99B.trace.gz,lru,0,1,True,29.152643941694713,0.257291,14531054,45268
sphinx3_2520B.trace.gz,lru,0,2,False,4.9008499705949,0.799739,2274362,176063
astar_313B.trace.gz,lru,1,2,False,43.586851738478884,0.115107,11453022,10340404
xalancbmk_99B.trace.gz,lru,0,2,False,27.925499888298003,0.244556,13922015,40735
bfs.trace.gz,lru,1,2,False,11.641002,0.343229,5773862,46639
xalancbmk_99B.trace.gz,lru,0,2,False,28.539177942921643,0.224864,14227776,41813
omnetpp_340B.trace.gz,lru,1,2,False,17.623645929505418,0.272563,7549388,1262435
cc.trace.gz,lru,0,2,False,6.657902,0.409894,3326865,2086
soplex_66B.trace.gz,lru,1,2,False,21.306315872162102,0.39028,8471829,2181329
mcf_46B.trace.gz,lru,0,2,False,66.32347760205913,0.100461,32555911,605828
cc.trace.gz,lru,1,2,False,6.26181996242908,0.421757,3129610,1300
mcf_46B.trace.gz,lru,0,2,False,68.599492,0.0969355,33640005,659741
xalancbmk_99B.trace.gz,lru,1,2,False,29.29858788280565,0.220873,14605367,43927
astar_313B.trace.gz,lru,0,2,False,43.64348973813906,0.115068,11462348,10359397
sphinx3_2520B.trace.gz,lru,1,2,False,4.80745,0.810545,2222873,180852
mcf_46B.trace.gz,lru,0,2,False,67.39524973041901,0.0940986,33065986,631639
astar_313B.trace.gz,lru,1,2,False,43.710261912579476,0.113605,11498523,10356608
omnetpp_340B.trace.gz,lru,0,2,False,16.23520993505916,0.287962,6944777,1172828
cc.trace.gz,lru,1,2,False,6.14501,0.427247,3071323,1182
omnetpp_340B.trace.gz,lru,0,2,False,17.796295928814818,0.264813,7626529,1271619
mcf_46B.trace.gz,lru,1,2,False,67.81809559309143,0.0957216,33268119,640929
astar_313B.trace.gz,lru,0,2,False,44.03484773579091,0.111604,11596106,10421318
soplex_66B.trace.gz,lru,1,2,False,22.45843986524936,0.341403,9008576,2220644
pr.trace.gz,lru,0,2,False,14.119865971760268,0.222918,6958493,101440
soplex_66B.trace.gz,lru,1,2,False,21.642872,0.382985,8620635,2200801
mcf_46B.trace.gz,lru,0,2,False,70.41906357748562,0.0918263,34512263,697269
soplex_66B.trace.gz,lru,1,2,False,23.93178395213643,0.338111,9659253,2306639
bfs.trace.gz,lru,0,2,False,11.58362,0.329668,5742569,49241
mcf_46B.trace.gz,lru,1,2,False,67.10862559734824,0.0991734,32929249,625064
mcf_46B.trace.gz,lru,0,2,False,67.11355559731867,0.0988116,32931540,625238
bfs.trace.gz,lru,1,2,False,11.606916,0.33034,5754141,49317
